Scan date,Scan time,New Publication IDs
2026-01-30,16:26:08,"51336, 51345, 51312, 51305, 51310, 51330, 51334, 51344, 51335, 51302, 51276, 51283, 51285, 51245, 51246, 51226, 51228, 51210, 51224, 51227, 51202, 51183, 51188, 51189, 51209, 51129, 51167, 51128, 51102, 51113"
2026-01-30,16:48:15,
2026-01-31,04:50:05,
2026-01-31,09:53:53,
2026-01-31,11:41:39,
2026-02-01,05:18:47,
2026-02-01,09:56:11,
2026-02-01,11:44:27,
2026-02-02,05:22:04,
2026-02-02,11:24:32,
2026-02-02,12:00:33,
2026-01-28,00:00:00,51371
2026-01-28,00:00:00,
