Scan date,Scan time,New Publication IDs
2026-01-21,12:05:13,"51167, 51128, 51102, 51113, 51123, 51065, 51117, 51109, 51069, 51066, 51012, 50888, 51003, 51008, 50887, 50890, 50845, 50844, 50872, 50873, 50850, 50843, 50806, 50761, 50723, 50681, 50724, 50721, 50700, 50718, 50719, 50720, 50709, 50711, 50713, 50722, 50674, 50676, 50677, 50678, 50679, 50685, 50625, 50626, 50624, 50615, 50585, 50584, 50611, 50597"
2026-01-21,13:59:05,
2026-01-22,04:16:05,51183
2026-01-22,09:57:59,
2026-01-22,10:58:01,
2026-01-22,11:44:15,51227
2026-01-22,13:58:52,
2026-01-23,03:58:54,"51210, 51224"
2026-01-23,09:54:08,
2026-01-23,10:55:03,
2026-01-23,11:40:25,51226
2026-01-23,13:55:22,
2026-01-24,03:52:43,
2026-01-24,09:38:56,
2026-01-24,10:44:51,
2026-01-24,11:31:16,
2026-01-24,13:42:23,
2026-01-25,04:21:15,
2026-01-25,09:40:57,
2026-01-25,10:47:23,
2026-01-25,11:31:40,
2026-01-25,13:44:36,
2026-01-26,04:36:04,
2026-01-26,09:59:12,
2026-01-26,10:55:52,
